財務
コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2017/03,97386000000,25391000000,25301000000,19637000000,19359000000,18775000000,2378.04,25.6
1332,2017/03,451876000000,141205000000,108163000000,56666000000,138440000000,69309000000,388.37,26.8
1333,2017/03,501303000000,122820000000,93511000000,33789000000,149036000000,123172000000,1912.52,20.1
1352,2017/03,33620000000,6154000000,5604000000,1900000000,5000000000,11474000000,679.71,16.9
1376,2017/05,43369085000,17686019000,17393515000,14158524000,-,-,1506.34,40.8
1377,2017/05,116169000000,94093000000,91780000000,71968000000,2914000000,1278000000,2087.3,80.9
1379,2017/03,94738000000,51736000000,50941000000,41835000000,16669000000,12538000000,1610.81,54.6
1380,2017/03,4482000000,1499735000,1473367000,210354000,961171000,891201000,359.55,33.5
1381,2017/06,13777000000,10575000000,10494000000,9614000000,-,-,1882.85,76.8
1382,2017/06,821248000,459874000,459674000,-393659000,-,48740000,603.62,56
1383,2017/10,3640818000,1329123000,1131163000,558379000,470000000,613540000,891.57,31.1
1384,2017/08,14042581000,8333390000,8213846000,6404631000,130000000,2228508000,985.15,59.3
1400,2017/12,2408507000,2033468000,1726991000,-423444000,-,109127000,166.77,71.7
1401,2017/05,2803491000,1558529000,1493046000,813950000,-,228088000,213.9,55.5
1407,2017/08,64483000000,14023000000,13971000000,12765000000,9765000000,26641000000,553.74,21.7
1413,2017/12,60160228000,18690120000,16129498000,17719782000,3868000000,11175633000,1289.18,26.9
1414,2017/06,84266000000,69243000000,70507000000,33243000000,-,-,1286.36,82.2
1417,2017/03,216131000000,128837000000,120423000000,92679000000,710000000,9000000,1570.53,57.4
1418,2017/02,12227899000,4447553000,4402079000,867351000,1008000000,1870750000,227.92,36.4
1419,2017/05,83350000000,14088000000,13570000000,4898000000,7309000000,18709000000,463.07,16.7
1420,2017/03,50676852000,15817026000,15751633000,6369566000,5870000000,11170000000,1284.7,31.2
1429,2017/12,12806320000,5508544000,5508138000,3740419000,1835000000,336000000,171.31,43
1430,2017/05,11606500000,4125429000,4107082000,2712730000,1800000000,1146000000,308.45,35.4
1431,2017/06,2377725000,1255663000,1255663000,859094000,-,-,496.9,52.8
1433,2017/01,4222622000,2183324000,2183324000,1397344000,550000000,-,262.89,51.7
1434,2017/08,8266775000,2513620000,2242731000,493086000,589083000,1365999000,349.84,26.8
1435,2017/12,21864780000,9667768000,9462137000,8300627000,3000000000,1604312000,120.56,43.6
1436,2017/04,6899509000,4320670000,4321109000,2391901000,-,553549000,1009.17,62.6
1438,2017/09,3397697000,2324433000,2311383000,1785761000,200000000,94720000,1601.08,68.4
1439,2017/12,2656152000,1330475000,1327186000,849141000,-,368779000,1021.01,50.1
1443,2017/03,-,6900387000,-,-,-,-,-,-
1446,2017/09,7045832000,2452628000,2435794000,35694000,350000000,2308000000,507.72,34.6
1449,2017/12,417410000,141056000,141056000,96056000,40000000,49903000,72.34,33.8
1450,2017/03,3852268000,2030804000,1998305000,1950305000,-,236718000,1057.71,52.7
1451,2017/03,14803312000,4723175000,4718359000,3481368000,190000000,4310933000,1274.28,31.9
1491,2017/03,7585363000,6585743000,6575785000,358040000,150000000,249300000,22.7,86.7
1514,2017/03,16359000000,10917000000,10339000000,7103000000,450000000,2000000000,191.06,66.4
1515,2017/03,167260000000,102399000000,85401000000,76127000000,11655000000,12158000000,11781.45,58.6
1518,2017/03,59104000000,31721000000,29661000000,15784000000,4196000000,10597000000,2426.97,53.6
1605,2017/03,4312174000000,3207542000000,2556852000000,1595018000000,44252000000,643432000000,2015.38,68.3
1662,2017/03,746739000000,510609000000,360155000000,345693000000,-,141903000000,7655.25,58.6
1663,2017/12,91644000000,74985000000,70465000000,49668000000,465000000,801000000,2597.97,77.7
1711,2017/03,2049931000,852092000,609927000,-1482948000,306710000,267196000,257.8,34
1712,2017/02,15615497000,10772299000,10365505000,6073297000,1800000000,425527000,625.09,67.1
1716,2017/06,10597000000,8333458000,8066888000,7256749000,-,39811000,1413.05,75.9
1717,2017/03,4087306000,2804867000,2739718000,2005787000,-,-,239.06,67
1718,2017/12,29925507000,12852166000,11139119000,9778391000,3700000000,4015878000,10255.96,37.5
1719,2017/03,318387000000,100744000000,96528000000,69838000000,21825000000,8543000000,541.42,31.4
1720,2017/03,204813000000,66380000000,60311000000,40122000000,3082000000,1721000000,619.91,32.3
1721,2017/03,284367000000,202943000000,207692000000,186195000000,113000000,-,1848.34,70.9
1722,2017/03,247069000000,52309000000,49433000000,34664000000,36227000000,44124000000,1157.16,20.2
1723,2017/03,28550000000,18655973000,18313188000,17646640000,-,-,2306.39,65.3
1724,2017/03,6055000000,1411000000,1283000000,602000000,480000000,1122000000,391.17,23.3
1726,2017/03,20657000000,4714781000,4483568000,2435151000,2910000000,903980000,118.03,22.2
1728,2017/03,19411426000,6627083000,6595518000,4346886000,4975193000,1513051000,575.91,34.1
1730,2017/03,3570610000,1500090000,1500501000,1112431000,12000000,375000000,439.42,42
1734,2017/03,9545000000,5810657000,5753108000,4253518000,-,-,9206.56,60.9
1736,2017/03,21654032000,12485479000,12217399000,11285361000,1121888000,79696000,2336.71,56.7
1737,2017/03,23803503000,12729007000,12974527000,11211302000,-,-,996.63,53.5
1738,2017/03,4596179000,2945404000,2913591000,2583589000,50000000,-,726.61,64.1
1739,2017/06,10837514000,2367630000,2367928000,1646806000,2499000000,1396000000,389.01,21.8
1743,2017/09,11080902000,6282007000,6136745000,3544051000,51000000,751800000,8283.67,56.7
1757,2017/03,2932214000,2490541000,2486863000,-8417001000,-,206303000,27.21,84.8
1758,2017/01,8961885000,6307578000,6035681000,5580377000,-,122753000,8998.66,70.4
1762,2017/03,180907000000,110555000000,96835000000,95860000000,-,-,2673.89,53.2
1764,2017/06,11467774000,3520792000,3480556000,2151853000,660000000,1391876000,2714.83,30.7
1766,2017/04,170267000000,73217000000,73454000000,68732000000,-,-,5441.2,43
1768,2017/03,10585006000,5424608000,5332487000,4215515000,-,-,739.5,51.3
1770,2017/03,21234240000,9935719000,9664233000,9071592000,779980000,1452000,1092.38,46.8
1771,2017/09,8927074000,5382940000,4982536000,3880300000,-,-,1067.99,60.3
1775,2017/03,47296000000,17475000000,17652000000,9006000000,25000000,-,1862.38,35.4
1776,2017/03,25448000000,9058000000,8882000000,6089000000,-,-,978.24,35.1
1777,2017/03,17150301000,6154156000,6087484000,4118451000,900000000,340000000,514.32,35.9
1780,2017/09,20401343000,12775145000,12049222000,7996105000,-,-,674.96,62.6
1782,2017/03,17323363000,6881414000,6454545000,5142053000,1176000000,166673000,8727.82,39.5
1783,2017/09,9803000000,7696118000,7636352000,-992587000,-,744038000,133.62,78.3
1787,2017/03,10461000000,7105506000,7035119000,5441754000,-,-,2752.68,67.9
1788,2017/06,3652000000,2604211000,2550999000,1076129000,-,-,3798.65,71.3
1789,2017/09,3649231000,2075235000,2251400000,499947000,300000000,-,325.83,56.9
1793,2017/03,91160000000,58359000000,55061000000,48436000000,-,-,11108.13,64
1795,2017/09,7915935000,3527937000,3506281000,1363901000,25000000,501614000,3926.82,44.6
1798,2017/03,25487667000,7847100000,7726632000,4717947000,1440000000,720000000,3582.96,30.8
1799,2017/03,64120659000,52667962000,49765994000,43317963000,-,-,2558.31,82.1
1801,2017/03,1760078000000,570813000000,485395000000,278613000000,114600000000,79995000000,2483,32.3
1802,2017/03,1999892000000,644076000000,432497000000,334957000000,89498000000,55836000000,827.77,29.7
1803,2017/03,1688197000000,576879000000,422017000000,306128000000,121171000000,64600000000,728.78,33.9
1805,2017/03,98125000000,25894000000,25288000000,13968000000,-,10000000000,1344.79,26.4
1807,2017/03,31233731000,13692774000,11706960000,9090987000,1800000000,865330000,4277.64,43.7
1808,2017/03,630937000000,238467000000,245358000000,180509000000,10000000000,77493000000,791.24,37.7
1810,2017/03,69684835000,32599959000,30273657000,25966573000,-,-,1068.11,46.8
1811,2017/03,145704000000,58500000000,37914000000,34208000000,8650000000,7650000000,8166.87,40.1
1812,2017/03,1992822000000,552552000000,440079000000,319834000000,89270000000,128656000000,1056.93,27.5
1813,2017/03,47361000000,23514000000,23528000000,4107000000,900000000,-,1417.64,49.1
1814,2017/03,39815000000,11882000000,11773000000,7585000000,4154000000,938000000,1137.27,29.8
1815,2017/03,183730000000,49220000000,35123000000,11580000000,31907000000,10002000000,3126.86,26.6
1820,2017/03,385674000000,169788000000,147697000000,104981000000,17744000000,100000000,3057.32,43.5
1821,2017/03,302152000000,63242000000,57786000000,45506000000,10201000000,23640000000,350.3,18.8
1822,2017/03,129232000000,49981000000,47687000000,30867000000,1850000000,3150000000,2839.85,37.9
1824,2017/03,648601000000,201511000000,173810000000,111056000000,18316000000,25933000000,1002.82,29.4
1826,2017/03,23163000000,11985000000,11020000000,7092000000,566000000,-,772.77,51.7
1827,2017/03,77984000000,26455000000,25730000000,19300000000,1500000000,750000000,738.17,32.5
1828,2017/03,24001029000,12635816000,12866631000,10512712000,1350588000,775295000,1180.78,52.6
1832,2017/03,34668000000,20466000000,19592390000,15573745000,-,-,1061.37,59
1833,2017/03,287674000000,152958000000,122189000000,89675000000,13089000000,1156000000,3839.2,53.2
1835,2017/03,122320699000,70341994000,65075338000,61707930000,-,-,1979.28,56.7
1840,2017/10,20707817000,13115324000,13105045000,1719616000,-,-,524.66,63.3
1841,2017/03,12377000000,9682661000,9627055000,9404251000,300000000,-,2747.87,78.2
1844,2017/07,6816576000,3528383000,3508918000,92397000,695816000,906791000,236.47,51.5
1847,2017/03,49232000000,13866000000,13461000000,8954000000,1492000000,1885000000,1908.64,28.1
1848,2017/03,19865000000,6792000000,6751000000,2995000000,2626000000,144000000,383.28,34.2
1850,2017/03,37943000000,10165000000,10139000000,6439000000,9433000000,2127000000,352.59,26.8
1852,2017/03,104395000000,30071000000,28032000000,16393000000,8717000000,6124000000,3576.41,28.7
1853,2017/03,22927000000,7996000000,7943000000,6105000000,2250000000,-,244.15,34.9
