財務
コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2020/03,111184000000,32593000000,32396000000,25895000000,25594000000,19124000000,3046.12,29.4
1332,2020/03,491533000000,172300000000,148069000000,96237000000,120877000000,100361000000,492.22,31.2
1333,2020/03,528063000000,158978000000,132747000000,73069000000,122510000000,139204000000,2520.27,25.1
1352,2020/03,40128000000,7097000000,6315000000,2612000000,1940000000,19545000000,760.24,15.9
1375,2020/03,35199000000,4901000000,4899000000,10828000000,-,22438000000,122.94,13.9
1376,2020/05,46792619000,20401526000,19731583000,16604614000,-,-,1748.7,43.6
1377,2020/05,123601000000,101793000000,104744000000,84935000000,3441000000,1267000000,2278.17,82.2
1379,2020/03,100602000000,50545000000,50402000000,43130000000,4437000000,16680000000,1616.74,50.2
1380,2020/03,5082363000,1733376000,1701972000,440261000,1048378000,1196795000,415.56,34.1
1381,2020/06,17956000000,15394000000,15283000000,14404000000,-,-,2741.17,85.7
1382,2020/06,970616000,468527000,468870000,-384396000,200000000,9716000,615.04,48.3
1383,2020/10,4662355000,1138162000,908080000,331309000,927930000,789277000,715.12,19.5
1384,2020/03,14676110000,8928612000,8830097000,7020917000,300000000,2351143000,1055.52,60.8
1400,2020/12,3167000000,2720000000,2531547000,-423522000,2600000,70786000,201.39,79.9
1401,2020/05,3320764000,2382101000,2372841000,1628117000,-,113222000,315.7,71.7
1407,2020/08,82299000000,20359000000,20365000000,20737000000,14775000000,33531000000,500.02,24.7
1413,2020/12,73880419000,25579540000,21555359000,22901725000,5700000000,11386240000,1702.5,29.1
1414,2020/06,102667000000,83617000000,83548000000,46289000000,-,-,1553.07,81.4
1417,2020/03,352134000000,218710000000,210559000000,135546000000,16789000000,-,2006.41,61.2
1418,2020/02,10404586000,3799157000,3844595000,430241000,800000000,760249000,199.4,36.5
1419,2020/05,101713000000,21232000000,20818000000,12228000000,15336000000,8263000000,718.91,20.8
1420,2020/03,57896211000,16498392000,16491567000,8231921000,12390000000,7364000000,1537.65,28.5
1429,2020/12,16021943000,7638279000,7638492000,5059944000,2300000000,66600000,236.46,47.7
1430,2020/05,17941305000,6084624000,6078004000,4922583000,3200000000,3335000000,466.55,33.9
1431,2020/06,3143616000,1795008000,1795008000,1436404000,59000000,80000000,171.23,57.1
1433,2021/01,6030000000,2595000000,2568071000,1973047000,-,2277399000,315.08,43
1434,2020/08,9972435000,3601693000,3440998000,1578237000,870443000,1731193000,513.15,33.8
1435,2020/12,9376073000,7235439000,7246035000,-7252197000,-,-,79.4,77.2
1436,2020/04,7586273000,4289687000,4289692000,2373490000,1000000000,587415000,1006.73,56.5
1438,2020/09,4090927000,2889173000,2892540000,2158650000,200000000,53100000,1803.57,70.6
1439,2020/12,4270000000,1415000000,1389296000,928761000,75000000,1258001000,1076.19,32.5
1443,2020/03,12745324000,8140570000,8115898000,5522406000,537678000,317769000,501.37,63.9
1444,2020/07,1133552000,881621000,881621000,574621000,-,-,958.28,77.7
1446,2020/09,8402589000,3396252000,3396252000,558878000,100000000,2609172000,316.81,40.4
1447,2020/03,12983534000,2563171000,2376991000,-538028000,2389650000,2441614000,121.1,18.5
1448,2020/03,79307000000,24558000000,22267000000,13358000000,3256000000,15123000000,692.58,30.9
1449,2020/12,561000000,333000000,333801000,247953000,-,4150000,156.71,59.5
1450,2020/03,5219797000,3946995000,3917653000,3371579000,-,-,907.43,75.6
1451,2020/03,14462292000,5508342000,5508475000,4099939000,-,3833776000,1403.03,38.1
1491,2020/03,7756623000,6402462000,6392734000,175086000,550000000,105211000,22.07,82.4
1514,2020/03,16622000000,14996000000,15064000000,12347000000,140000000,-,281.13,89.4
1515,2020/03,173954000000,105208000000,97649000000,88695000000,16259000000,4390000000,12027.12,57.5
