CF
コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2017/03,601000000,-1998000000,105000000,-,2572000000,0.25
1332,2017/03,30179000000,-7445000000,-11517000000,-24462000000,25181000000,4.75
1333,2017/03,25969000000,-11097000000,-13618000000,-14462000000,13327000000,2.97
1352,2017/03,1604000000,-4484000000,2886000000,-4262000000,1475000000,2.17
1376,2017/05,1705135000,-27582000,-1264407000,-187809000,4369089000,2.95
1377,2017/05,7613000000,-2901000000,-2016000000,-2435000000,14134000000,12.31
1379,2017/03,8000000000,-14947000000,7779000000,-14869000000,5473000000,12.67
1380,2017/03,413578000,-539139000,85483000,-506130000,819083000,7.66
1381,2017/06,2581000000,-560000000,-196000000,-610000000,5414000000,13.73
1382,2017/06,-165676000,-48547000,61647000,-45455000,300040000,-4.45
1383,2017/10,203516000,-106065000,-99544000,-109548000,419659000,4.4
1384,2017/08,2197747000,-2346466000,-48276000,-2323220000,2752525000,13.75
1400,2017/12,-57544000,19353000,49725000,-32572000,728411000,-2.44
1401,2017/05,492961000,-112294000,-91324000,-100180000,871759000,18.53
1407,2017/08,-1448000000,-1372000000,474000000,-2288000000,26306000000,-4.42
1413,2017/12,3506776000,-2302532000,2432534000,-2301438000,9773025000,3.34
1414,2017/06,7484000000,-3793000000,-2606000000,-183000000,18073000000,14.05
1417,2017/03,4767000000,-11140000000,10499000000,-3993000000,33169000000,1.68
1418,2017/02,843603000,-654309000,-291106000,-357624000,3069923000,4.42
1419,2017/05,-1100000000,-555000000,1750000000,-896000000,26706000000,-0.7
1420,2017/03,604150000,456995000,-484799000,-70856000,5067378000,1.09
1429,2017/12,447013000,-492789000,-547643000,-591354000,1976384000,2.48
1430,2017/05,3982508000,-84991000,-1660903000,-27124000,3724228000,19.01
1431,2017/06,469104000,-89146000,192332000,-69816000,1254535000,12.46
1433,2017/01,-759647000,-28830000,411535000,-31693000,702153000,-18.16
1434,2017/08,451677000,219729000,-843181000,-,622858000,5.75
1435,2017/12,3647479000,-3104632000,4441440000,-1445033000,9888330000,5.44
1436,2017/04,1389728000,-457965000,-370773000,-425690000,3405365000,19.31
1438,2017/09,160882000,-93075000,379441000,-18139000,1591401000,4.22
1439,2017/12,-159212000,-100712000,552304000,-107937000,885909000,-4.22
1443,2017/03,-,-,-,-,1436013000,-
1446,2017/09,526088000,-6256000,-279231000,-11741000,1379948000,4.4
