CF
コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2020/03,9410000000,-2931000000,-4817000000,-,6313000000,3.58
1332,2020/03,18786000000,-29446000000,25942000000,-28591000000,31647000000,2.72
1333,2020/03,39178000000,-22445000000,-7132000000,-24132000000,21772000000,4.33
1352,2020/03,2277000000,-3092000000,736000000,-3298000000,2121000000,2.83
1375,2020/03,4891000000,-1994000000,-5053000000,-2379000000,4461000000,9.64
1376,2020/05,589490000,-264954000,-488692000,-386321000,4411028000,1.01
1377,2020/05,3435000000,-1322000000,-1757000000,-3321000000,11934000000,5.57
1379,2020/03,10778000000,-2896000000,-4837000000,-2726000000,11400000000,15.13
1380,2020/03,480329000,-456295000,22006000,-458478000,618608000,8.3
1381,2020/06,2757000000,-1065000000,-448000000,-1122000000,7776000000,13.95
1382,2020/06,-97307000,-17332000,86992000,-16226000,264460000,-3.01
1383,2020/10,311441000,-605584000,533961000,-608292000,728771000,5.99
1384,2020/03,1903654000,-1056562000,-573925000,-1014701000,2197945000,14.19
1400,2020/12,33000000,-3000000,22000000,0,1622285000,1.26
1401,2020/05,474234000,-38358000,41997000,-18058000,1263355000,14.17
1407,2020/08,1333000000,-669000000,-3412000000,-792000000,29913000000,2.15
1413,2020/12,6121206000,-733812000,3084863000,-1648795000,18299518000,5.35
1414,2020/06,4540000000,16778000000,-4179000000,-441000000,27395000000,6.72
1417,2020/03,7936000000,-9176000000,-2814000000,-10406000000,31632000000,1.8
1418,2020/02,614081000,-124078000,-402611000,-145744000,3126045000,3.22
1419,2020/05,2201000000,-3494000000,5274000000,-2679000000,30993000000,1.05
1420,2020/03,-5634123000,984160000,5175381000,-295499000,6320883000,-10
1429,2020/12,694189000,-609202000,-311392000,-686212000,1651998000,3.17
1430,2020/05,-5469284000,-23230000,5593145000,-,4091153000,-23.35
1431,2020/06,53234000,-386978000,-116214000,-329529000,743222000,0.88
1433,2021/01,-108000000,-101000000,638000000,-50802000,1367126000,-2.93
1434,2020/08,-147265000,-1693021000,1610127000,-,1015569000,-1.64
1435,2020/12,2037639000,187750000,-2430800000,-130384000,5564099000,33.15
1436,2020/04,-853351000,11863000,-45063000,-31181000,1152621000,-18.02
1438,2020/09,78258000,-146090000,159633000,-73648000,1772434000,2.03
1439,2020/12,248000000,7000000,555000000,-124629000,1361285000,4.6
1443,2020/03,815225000,-386849000,-441907000,-,2954798000,8.15
1444,2020/07,137342000,-21326000,205754000,-18123000,720186000,5.03
1446,2020/09,449672000,-106117000,1521659000,-64532000,3455435000,3.67
1447,2020/03,717853000,-1355502000,587535000,-845389000,2917371000,3.38
1448,2020/03,2377000000,3102000000,-8846000000,-2841000000,4126000000,2.78
1449,2020/12,70000000,-39000000,-36000000,-38432000,168862000,4.73
1450,2020/03,763113000,-24830000,-255010000,-38415000,1445375000,11.45
1451,2020/03,-1704852000,-35244000,570136000,-40130000,2874864000,-14.44
1491,2020/03,925554000,-19902000,438951000,-31672000,2938318000,3.25
1514,2020/03,2191000000,-55000000,-731000000,-36000000,3526000000,13.14
1515,2020/03,9242000000,-7714000000,-1454000000,-7962000000,33484000000,7.87
1518,2020/03,2287000000,-7722000000,4813000000,-1787000000,10188000000,3.43
1605,2020/12,292915000000,-417189000000,126747000000,-133125000000,172405000000,37.99
1662,2020/03,69895000000,-18701000000,-13743000000,-7677000000,138259000000,21.92
1663,2020/12,7934000000,-6538000000,-1934000000,-4670000000,21879000000,13.57
1711,2020/03,-6080000,67517000,187399000,-518000,440384000,-0.27
1712,2020/02,1470000000,-1539000000,-138000000,-1626828000,599000000,10.46
1716,2020/06,2515215000,-1699666000,-198167000,-1093621000,6316072000,14.42
