業績
コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2019/03,256151000000,3831000000,4434000000,2914000000,269.56,9.16,2.54
1332,2019/03,712111000000,21685000000,25358000000,15379000000,49.41,10.51,3.22
1333,2019/03,922468000000,21758000000,25233000000,16695000000,317.23,13.32,3.21
1352,2019/03,76880000000,651000000,524000000,335000000,40.01,5.5,0.8
1376,2019/05,58592669000,1785707000,1899100000,1284215000,109.39,6.55,2.82
1377,2019/05,62746000000,7717000000,8331000000,6856000000,152.68,6.81,5.6
1379,2019/03,70183000000,3503000000,4610000000,3188000000,99.84,6.13,3.08
1380,2019/03,5623000000,98000000,130000000,135000000,32.38,7.96,2.65
1381,2019/06,19586000000,2431000000,2560000000,1807000000,321.77,13.08,11
1382,2019/06,3591228000,46258000,49207000,44633000,58.59,10.15,4.33
1383,2019/10,4885559000,72684000,31912000,-3767000,-2.97,-,-
1384,2019/03,12763990000,153841000,221820000,85009000,10.05,0.97,0.57
1400,2019/12,3598007000,13786000,-5396000,-32652000,-2.62,-,-
1401,2019/05,3340619000,313050000,381470000,301568000,41.44,14.39,10.04
1407,2019/08,63904000000,5864000000,5425000000,3632000000,111.23,20.67,4.42
1413,2019/12,117687355000,6269626000,6231239000,2360174000,187.37,12.53,3.53
1414,2019/06,60824000000,11727000000,12165000000,8080000000,150.11,10.35,8.54
1417,2019/03,375911000000,20699000000,21992000000,25711000000,295.33,13.09,7.76
1418,2019/02,19387178000,185485000,151667000,-74246000,-3.83,-,-
1419,2019/05,186874000000,7366000000,6955000000,3934000000,130.89,21.69,4.4
1420,2019/03,53888674000,1434225000,1544595000,954200000,77.46,5.44,1.75
1429,2019/12,21366509000,1909971000,1909431000,1275023000,39.5,18.63,8.29
1430,2019/05,19015977000,1877457000,1874588000,1275627000,95.68,21.9,11.37
1431,2019/06,6597223000,532407000,573754000,391248000,77.22,19.95,11.26
1433,2019/01,4927436000,497809000,495407000,621914000,75.25,23.81,13.63
1434,2019/08,10370857000,-88312000,-82024000,-125435000,-19.24,-,-
1435,2019/12,18828288000,-9671221000,-10122698000,-14536662000,-163.11,-,-
1436,2019/04,5021176000,-197427000,-205782000,-398717000,-93.1,-,-
1438,2019/09,4088282000,306013000,280088000,173419000,119.46,6.82,4.69
1439,2019/12,5059888000,206865000,205277000,123292000,94.88,8.38,4.24
1443,2019/03,9455313000,742197000,754384000,423919000,26.11,5.62,3.43
1446,2019/09,13167457000,465034000,453151000,247876000,24.26,7.88,3.62
1447,2019/03,11272407000,65116000,60185000,-87635000,-4.8,-,-
1448,2019/03,85666000000,4228000000,4314000000,238000000,6.78,0.92,0.26
1449,2019/12,1507871000,79303000,86992000,60541000,28.42,20.66,10.57
1450,2019/03,6234824000,781045000,801213000,526330000,259.59,14.7,11.71
1451,2019/03,13364552000,812000000,737291000,484811000,130.53,9.13,3.52
1491,2019/03,26457759000,593139000,532497000,123582000,0.43,1.85,1.59
1514,2019/03,19733000000,164000000,2129000000,2594000000,47.49,18.02,15.4
1515,2019/03,123372000000,7479000000,7356000000,5360000000,644.19,5.22,3.12
1518,2019/03,75702000000,5201000000,5910000000,2240000000,171.94,6.8,3.9
1605,2019/12,1000005000000,498641000000,511088000000,123550000000,84.61,4.06,2.55
1662,2019/03,267980000000,2313000000,12523000000,14770000000,258.43,3.55,2.25
1663,2019/12,65133000000,3330000000,3635000000,2737000000,100.91,3.64,2.9
1711,2019/03,1280000000,-362000000,-399000000,-161000000,-56.69,-,-
1712,2019/02,14193141000,898000000,904989000,564344000,33.55,4.77,2.64
1716,2019/06,14871802000,1760000000,1843825000,1251051000,219.8,11.86,9.4
1717,2019/03,5598521000,774726000,780274000,561806000,47.27,15.62,9.83
1718,2019/12,29887483000,1344431000,1371332000,1071290000,979.93,8.42,3.87
1719,2019/03,359971000000,23692000000,22495000000,8862000000,45.21,6.67,2.53
1720,2019/03,331437000000,21987000000,22932000000,15504000000,145.37,16.74,5.85
1721,2019/03,481783000000,35267000000,36071000000,28018000000,230.09,9.39,6.37
1722,2019/03,399347000000,8408000000,9114000000,5309000000,123.29,8.94,1.88
1723,2019/03,28308858000,3174000000,3233767000,2232984000,278.99,10.37,6.58
1724,2019/12,10294000000,760000000,810000000,834000000,228.68,30.61,9.67
1726,2019/03,27333000000,1386000000,1415000000,741000000,18.93,12.09,3.22
1728,2019/03,29473845000,405168000,467424000,54552000,4.74,0.94,0.3
1730,2019/03,4282536000,40467000,49457000,30069000,8.81,2.25,0.81
1734,2019/03,13264126000,314000000,356907000,156119000,247.45,2.52,1.66
1736,2019/03,23844117000,1755142000,1841685000,1164526000,221.82,8.25,4.69
1737,2019/03,32457225000,2203303000,2296266000,1590350000,124.52,10.97,7.4
1738,2019/03,8884816000,309597000,343696000,221872000,54.74,6.65,3.79
1739,2019/06,23797923000,1458322000,1265193000,865147000,142.15,20.28,3.87
1743,2019/09,11736077000,1131181000,1156813000,94378000,124.48,1.45,0.82
1757,2019/03,2281477000,-8000000,-898087000,-1042424000,-8.8,-,-
1758,2019/01,10750457000,434292000,491269000,351000000,501.03,5.14,3.86
1762,2019/03,249720000000,12441000000,12425000000,7022000000,201.67,6.75,3.68
1764,2019/06,19702169000,1109324000,1050504000,697927000,546.97,17.65,5.33
1766,2019/04,328524000000,15606000000,16057000000,10832000000,805.41,11.72,5.56
1768,2019/03,14943345000,857906000,913442000,630034000,85.89,9.8,5.63
1770,2019/03,29070881000,1934570000,2106699000,1477204000,162.33,12.03,6.23
1771,2019/09,13656998000,880192000,929578000,630795000,125.15,10,6.31
1775,2019/03,87901000000,4911000000,4852000000,3082000000,342.69,14.05,5.38
1776,2019/03,34737000000,1568000000,1573000000,1048000000,114.89,9.77,3.94
1777,2019/03,24124370000,1580402000,1604805000,1101146000,92.04,13.47,5.9
1780,2019/03,32305869000,1913083000,2043831000,1230703000,66.89,8.8,4.79
1782,2019/03,19030271000,1706217000,1751651000,1143898000,1458.97,12.35,6.38
1783,2019/09,3300893000,-134635000,-282226000,-36748000,-0.64,-,-
1787,2019/03,10976345000,599000000,638510000,437416000,171.81,6.12,4.06
1788,2019/06,5500074000,97309000,126124000,55007000,80.25,2.05,1.36
1789,2019/09,5518606000,160522000,160850000,108618000,17.05,4.88,2.7
1793,2019/03,83873000000,5434000000,5626000000,3951000000,773.56,6.14,4.16
1795,2019/09,9095870000,504269000,514485000,366151000,423.67,9.46,4.16
1798,2019/03,38379511000,1354993000,1419852000,956255000,438.49,10.2,3.54
1799,2019/03,49839715000,5067747000,5334551000,3630210000,176.73,6.07,5.25
1801,2019/03,1650877000000,153323000000,157936000000,112571000000,511.9,15.63,6.1
1802,2019/03,2039685000000,155480000000,163054000000,113155000000,157.65,14.72,5.11
1803,2019/03,1664960000000,129724000000,133957000000,99668000000,127.04,13.66,5.36
1805,2019/03,128866000000,7220000000,7019000000,5071000000,263.44,13.93,4.63
1807,2019/03,38835319000,1740443000,1853844000,1233863000,386.74,8,3.97
1808,2019/03,890981000000,98430000000,100369000000,87391000000,293.87,23.81,11.3
1810,2019/03,92471337000,4790977000,5147687000,3696202000,121.1,9.64,5.22
1811,2019/03,128130000000,5869000000,6961000000,4335000000,605.23,6.29,2.69
1812,2019/03,1974269000000,142622000000,162901000000,109839000000,211.67,14.58,5.25
1813,2019/03,67081000000,3582000000,3643000000,2438000000,150.14,9.34,4.53
1814,2019/03,64864000000,3899000000,3882000000,2815000000,269.55,17.14,6.45
1815,2019/03,174670000000,7573000000,6850000000,5587000000,358,9.01,2.88
1820,2019/03,349318000000,24928000000,25985000000,18784000000,343.38,9.52,4.03
1821,2019/03,448758000000,29217000000,28862000000,18828000000,117.03,20.78,5.52
1822,2019/03,150777000000,9166000000,9191000000,6141000000,357.06,10.07,4.18
1824,2019/03,492087000000,35944000000,38363000000,23952000000,126.14,10.01,3.34
1826,2019/03,28828000000,670000000,678000000,463000000,29.86,3.53,1.89
1827,2019/03,117152000000,5476000000,5954000000,3990000000,116.08,12.07,4.72
1828,2019/03,37495536000,2444333000,2494726000,1531111000,143.08,10.49,5.25
1832,2019/03,51306000000,1134000000,1325000000,898000000,46.57,4.25,2.42
1833,2019/03,220884000000,13716000000,15098000000,12314000000,312.92,7.31,4.14
1835,2019/03,134739601000,12216954000,12704234000,8862660000,257.08,10.74,6.55
1840,2019/10,30417147000,350579000,433402000,179804000,7.19,1.45,0.85
1841,2019/03,12513000000,1652000000,1654000000,779000000,220.57,7.3,5.36
1844,2019/07,5975867000,433762000,458193000,157513000,10.62,4.12,1.92
1847,2019/03,93824000000,4618000000,4590000000,3157000000,435.76,15.98,5.38
1848,2019/03,27863000000,917000000,887000000,594000000,33.52,7.65,2.71
1850,2019/03,43968000000,2618000000,2573000000,-1250000000,-43.36,-,-
1852,2019/03,135713000000,5700000000,5616000000,4178000000,504.78,11.21,4.1
1853,2019/03,34201000000,3149000000,3147000000,2181000000,66.6,18.31,8.23
1860,2019/03,510436000000,34518000000,37493000000,25595000000,83.48,9.62,3.83
1861,2019/03,389058000000,26464000000,26553000000,13312000000,285.47,9.87,3.76
1865,2019/03,152452000000,6701000000,6645000000,4092000000,74.4,6.07,3.71
1866,2019/03,77945780000,4618256000,4712894000,2751136000,474.3,8.29,4.71
1867,2019/03,44568381000,1659043000,1711908000,1068989000,323.01,5.26,2.42
1869,2019/03,96569000000,5708000000,5971000000,4099000000,162.37,8.27,4.57
1870,2019/03,92754000000,7705000000,7747000000,4476000000,103.13,9.18,4.2
1871,2019/03,110279000000,8747000000,8789000000,7918000000,169.16,22.34,8.78
1873,2019/10,48748000000,4065000000,3881000000,2503000000,54.57,11.09,5.85
1878,2019/03,1591178000000,127047000000,132240000000,89930000000,1212.19,30.09,10.46
1879,2019/03,103250000000,14665000000,14542000000,10066000000,172.18,15.76,9.53
1881,2019/03,413236000000,38656000000,39022000000,25514000000,214.25,7.62,4.89
1882,2019/03,103676000000,3653000000,3728000000,-231000000,-45.57,-,-
1883,2019/03,223757000000,17122000000,17636000000,11482000000,133,5.57,3.96
1884,2019/03,146294000000,7764000000,8160000000,4550000000,517.61,5.63,3.01
1885,2019/03,173692000000,3980000000,3943000000,3072000000,146.99,4.5,1.52
1887,2019/05,119525000000,14576000000,14406000000,10449000000,139.99,16.33,8.09
1888,2019/03,99675000000,4607000000,4440000000,3203000000,247.25,11.52,3.92
1890,2019/03,163860000000,7815000000,8069000000,5445000000,57.92,10.54,3.88
1892,2019/03,55715000000,2084000000,2094000000,1412000000,685.94,11.02,3.43
1893,2019/03,541949000000,29232000000,26569000000,18899000000,66.22,14.94,4.92
1897,2019/12,11701000000,144000000,266000000,188000000,68.72,0.98,0.82
1898,2019/03,74036000000,5564000000,5584000000,3480000000,86.16,11.03,4.91
1899,2019/12,182088000000,8055000000,8350000000,5475000000,619.37,8.11,3.92
1904,2019/03,54849538000,1972010000,2170668000,565844000,86.61,2.47,1.24
1905,2019/03,20774653000,953419000,1010186000,640103000,92.25,5.66,3.82
1906,2019/03,22100000000,-323000000,-612000000,-671000000,-35.8,-,-
1909,2019/03,36304107000,1702968000,1739232000,1116096000,157.61,8.89,3.98
1911,2019/03,1308893000000,49247000000,51436000000,29160000000,160.8,9.16,3
1914,2019/03,24481000000,468862000,638000000,156000000,5.72,0.66,0.49
1921,2019/03,32584000000,3195508000,3423000000,3086000000,77.95,9.84,5.62
1925,2019/03,4143505000000,372195000000,359462000000,237439000000,357.29,14.88,5.48
1926,2019/03,102825000000,9702000000,10124000000,6512000000,124.35,10.38,6.73
1928,2019/01,2160316000000,189223000000,195190000000,128582000000,186.53,10.87,5.33
1929,2019/03,63264000000,3970000000,4004000000,2721000000,65.23,11.09,5.55
1930,2019/03,43727000000,4069000000,4181000000,2787000000,119.48,8.35,5.58
1934,2019/03,204054000000,9394000000,10176000000,6631000000,92.72,5.74,3.39
1938,2019/03,57524598000,4171893000,4835718000,3349988000,133.19,6.8,4.36
1939,2019/03,80411000000,2938000000,3785000000,2392000000,304.99,5.15,2.62
1941,2019/03,153322000000,6486000000,8921000000,6160000000,110.21,2.87,2.31
1942,2019/03,563550000000,30012000000,30795000000,19703000000,96.46,8.26,4.28
1944,2019/03,521283000000,40354000000,42491000000,28844000000,132.95,6.42,4.55
1945,2019/03,68644000000,4822000000,5031000000,3508000000,103.62,5.71,4.09
1946,2019/03,218984000000,11029000000,10146000000,6672000000,356.92,6.53,2.53
1948,2019/03,37527000000,2724000000,2826000000,1961000000,1105.26,11.91,6.58
1949,2019/03,157016000000,10952000000,11561000000,5292000000,148.73,7.72,4.07
1950,2019/03,182464000000,14851000000,15826000000,9823000000,159.79,6.32,3.88
1951,2019/03,423727000000,31716000000,33431000000,40219000000,390.24,15.24,9.66
1952,2019/03,122389000000,3885000000,4235000000,3095000000,130.26,7.22,3.03
1954,2019/06,108589000000,5110000000,5584000000,3318000000,212.47,5.62,2.93
1959,2019/03,408143000000,36747000000,39924000000,26691000000,375.17,14.8,7.47
1960,2019/03,45051208000,646721000,1170852000,683608000,39.18,2.28,1.47
1961,2019/03,212314000000,10637000000,11204000000,9046000000,150.01,10.1,4.63
1963,2019/03,619241000000,23249000000,32304000000,24005000000,95.14,5.87,3.39
1964,2019/03,37090000000,987000000,1157000000,754000000,97.19,3.61,1.76
1965,2019/03,67391000000,4518000000,4857000000,3041000000,134.03,8.24,4.84
1966,2019/03,49219419000,2142075000,2160961000,1418681000,224.15,12.99,4.61
1967,2019/03,46272426000,3062000000,3273537000,2355828000,90.04,8.67,6.17
1968,2019/03,101141000000,3491000000,4013000000,2795000000,149.09,4.46,2.59
1969,2019/03,319834000000,17219000000,18359000000,12609000000,173.28,10.33,4.51
1971,2019/03,6055019000,186568000,204340000,111801000,47.53,3.24,1.27
1972,2019/03,36107000000,2880000000,2874000000,1943000000,503.89,10.79,5.86
1973,2019/03,277949000000,12774000000,13023000000,8885000000,179,8.47,4.11
1975,2019/03,88979000000,3307000000,3664000000,2645000000,414.19,8.8,3.27
1976,2019/03,52810000000,7277000000,7532000000,5068000000,97.4,10.47,7.62
1979,2019/03,225402000000,14035000000,15085000000,8841000000,259.5,8.13,3.96
1980,2019/03,155565000000,7661000000,8057000000,5464000000,245.12,8.25,4.53
1981,2019/03,34374196000,987517000,1103057000,738883000,64.18,5.02,2.92
1982,2019/03,70035000000,2048000000,3212000000,2711000000,111.31,4.62,3.29
1983,2019/03,244239000000,20359000000,22324000000,14354000000,147.35,9.17,5.23
1992,2019/03,6225589000,204850000,278188000,290827000,120.97,7.41,4.27
1994,2019/12,16765720000,2522513000,2605662000,1242595000,142.25,13.81,8.53
1997,2019/08,7595152000,725720000,724334000,488292000,245.36,10.85,5.62
1999,2019/06,6724833000,833479000,903948000,536672000,851.22,18.59,7.44
2001,2019/03,335399000000,11222000000,13065000000,8455000000,108.77,5.63,2.88
2002,2019/03,565343000000,26916000000,32062000000,22268000000,74.97,5.51,3.74
2003,2019/03,54900000000,4164000000,4463000000,3357000000,733.11,9.65,7
2004,2019/03,255905000000,8443000000,9786000000,7254000000,229.65,8.75,4.15
2009,2019/12,22321380000,1198730000,1423384000,1007567000,43.29,3.1,2.48
2053,2019/03,186982000000,5021000000,5353000000,3795000000,125.18,7.2,4.67
2055,2019/03,41128950000,308617000,426235000,254428000,13.17,1.46,0.9
2058,2019/03,12232082000,294863000,431576000,262069000,57.94,4.83,2.01
2060,2019/03,212886000000,4123000000,4466000000,4657000000,23.65,12.94,5.24
2107,2019/03,13677000000,948000000,1035000000,727000000,133.33,8.22,6.33
2108,2019/03,57997000000,1577000000,2037000000,1324000000,93.33,1.91,1.35
2109,2019/03,105274000000,3742000000,10314000000,6862000000,256.98,8.03,4.91
2112,2019/03,26002000000,1010000000,1090000000,840000000,30.99,9.53,3.43
2114,2019/03,19634486000,1349015000,1573892000,344019000,12.81,2.11,1.55
2117,2019/03,48755000000,3167000000,3410000000,2336000000,105.8,4.56,3.75
2120,2019/09,39297010000,4110917000,-,2359603000,18.15,7.25,5.41
2121,2019/03,144032000000,41033000000,41120000000,26521000000,350.26,14.86,13.74
2122,2019/09,28552412000,877374000,891124000,445947000,65.75,8.95,4.91
2124,2019/12,24170000000,6087000000,6090000000,4354000000,106.65,27.67,21.67
2127,2019/03,28463000000,12533000000,12533000000,8867000000,55.13,32.67,24.88
2130,2019/03,8857279000,968320000,-,619864000,48.88,18.28,10.25
2134,2019/03,1069043000,58352000,49133000,-484140000,-8.89,-,-
2136,2019/03,5354123000,504000000,501427000,339872000,85.5,13.51,7.37
2137,2019/03,3387430000,365000000,384586000,238849000,114.33,6.26,3.07
2138,2019/03,30282348000,-1002245000,-972314000,-1639200000,-143.2,-,-
2139,2019/03,7133334000,67500000,73981000,265554000,39.05,11.9,6.48
2144,2019/03,7225142000,360752000,283469000,383341000,35.01,24.59,8.27
2146,2019/03,101103000000,8083000000,8166000000,4968000000,123.06,38.55,14.73
2148,2019/03,4703481000,881498000,-,376750000,19.33,6.97,5.93
2150,2019/12,3268443000,605801000,593326000,448007000,42.33,20.83,14.55
2151,2019/03,32271000000,2125000000,1814000000,275000000,11.89,1.05,0.39
2152,2019/03,6801476000,1255983000,1276322000,818406000,69.46,11.49,7.96
2153,2019/05,26172000000,1711000000,1709000000,1261000000,189.33,6.95,4.72
2154,2019/06,81596000000,5719000000,5606000000,3706000000,87.46,24,11.88
2156,2019/03,8791906000,149783000,158771000,87584000,23.18,4.64,1.88
