業績
コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2020/03,262519000000,2918000000,3608000000,2037000000,188.51,6.23,1.83
1332,2020/03,690016000000,22834000000,25807000000,14768000000,47.46,9.64,3
1333,2020/03,905204000000,17079000000,19901000000,12537000000,238.23,9.45,2.37
1352,2020/03,80492000000,839000000,757000000,454000000,54.22,7.13,1.13
1375,2020/03,50759000000,6691000000,-,4346000000,109.06,88.71,12.35
1376,2020/05,58179890000,1487470000,1613297000,1122488000,95.95,5.5,2.4
1377,2020/05,61667000000,7482000000,8070000000,6094000000,136.64,6,4.93
1379,2020/03,71220000000,3923000000,4187000000,1531000000,48.57,3.03,1.52
1380,2020/03,5790005000,94446000,121193000,71834000,17.23,4.15,1.41
1381,2020/06,19770000000,2736000000,2826000000,1973000000,351.33,12.82,10.99
1382,2020/06,3230299000,24429000,26731000,28948000,38,6.18,2.98
1383,2020/10,5197096000,-124479000,-132395000,-214423000,-168.88,-,-
1384,2020/03,13416235000,139967000,198614000,223088000,26.37,2.5,1.52
1400,2020/12,2626000000,70000000,77000000,80000000,6.41,3.16,2.53
1401,2020/05,3345618000,283859000,340957000,227411000,31.13,9.55,6.85
1407,2020/08,61947000000,7180000000,6615000000,4417000000,107.66,21.71,5.37
1413,2020/12,114365044000,6629536000,6552649000,3800380000,301.09,17.67,5.14
1414,2020/06,67590000000,12930000000,13507000000,9005000000,167.29,10.77,8.77
1417,2020/03,441166000000,21993000000,23207000000,15220000000,149.92,7.07,4.32
1418,2020/02,19053081000,355703000,340291000,108307000,5.64,2.85,1.04
1419,2020/05,209207000000,9873000000,9754000000,5109000000,172.74,24.13,5.02
1420,2020/03,56351143000,412628000,415114000,359138000,29.78,2.18,0.62
1429,2020/12,21872218000,1896370000,1911938000,1342695000,41.57,17.58,8.38
1430,2020/05,23418849000,1342949000,1297037000,872337000,66.62,14.35,4.86
1431,2020/06,6036233000,144545000,195806000,137171000,12.94,7.64,4.36
1433,2021/01,3682000000,124000000,212000000,142000000,17.26,5.48,2.35
1434,2020/08,8993284000,340830000,390725000,314866000,47.9,9.33,3.16
1435,2020/12,6147103000,-664441000,-694379000,-1007325000,-11.14,-,-
1436,2020/04,4735252000,157880000,142338000,79098000,18.47,1.84,1.04
1438,2020/09,3853988000,284503000,289348000,199520000,133.93,6.91,4.88
1439,2020/12,5396000000,29000000,38000000,-13000000,-10.12,-,-
1443,2020/03,10008698000,1182701000,1205480000,656052000,40.4,8.06,5.15
1444,2020/07,2729495000,197084000,186788000,124776000,148.25,14.15,11.01
1446,2020/09,12264654000,421981000,429775000,191702000,18.5,5.64,2.28
1447,2020/03,21224761000,155826000,140737000,83156000,4.2,3.47,0.64
1448,2020/03,85481000000,2483000000,2855000000,997000000,28.39,4.07,1.26
1449,2020/12,1481000000,49000000,57000000,40000000,18.78,11.98,7.13
1450,2020/03,6662518000,796263000,831742000,551605000,126.81,13.98,10.57
1451,2020/03,11805988000,670574000,623840000,418195000,106.67,7.59,2.89
1491,2020/03,28517805000,-813478000,-893930000,-296966000,-1.03,-,-
1514,2020/03,16679000000,21000000,1262000000,1021000000,19.2,6.87,6.14
1515,2020/03,117502000000,7576000000,8012000000,4518000000,543.04,4.52,2.6
1518,2020/03,66596000000,2741000000,2995000000,2292000000,176.24,6.95,3.63
1605,2020/12,771046000000,248471000000,257335000000,-111699000000,-76.5,-,-
1662,2020/03,318822000000,14283000000,32635000000,26815000000,469.18,6.66,4.28
1663,2020/12,58452000000,3625000000,4050000000,2844000000,106.93,3.74,3.01
1711,2020/03,2273085000,-167198000,-171102000,-359630000,-85.58,-,-
1712,2020/02,14048000000,1237394000,1296000000,678000000,40.35,5.47,3.14
1716,2020/06,17440076000,2296950000,2482784000,1523817000,133.86,12.72,9.81
1717,2020/03,4353631000,902962000,906422000,639600000,52.98,15.77,11.59
1718,2020/12,27260898000,1304760000,1301731000,795608000,727.79,5.95,2.92
1719,2020/03,378135000000,24699000000,23983000000,16803000000,84.42,12.35,4.95
1720,2020/03,322170000000,20315000000,21969000000,14903000000,139.79,14.72,6.32
1721,2020/03,560882000000,38953000000,40064000000,25994000000,202.97,8.45,5.78
1723,2020/03,31298715000,4425170000,4464652000,3184030000,397.82,13.32,8.26
1724,2020/12,10892000000,765000000,703000000,529000000,144.15,15.98,5.64
1726,2020/03,34775000000,2158000000,2097000000,1348000000,34.43,19.92,5.11
1728,2020/03,26387579000,127657000,175124000,93999000,8.17,1.64,0.53
1730,2020/03,4030373000,64648000,69851000,39813000,11.66,2.94,1.17
1734,2020/03,15565255000,468828000,500100000,326950000,518.29,5.1,3.27
1736,2020/03,27225613000,2297000000,2447559000,1620276000,308.64,10.54,6.23
1737,2020/03,21022272000,156888000,261603000,170576000,13.36,1.24,0.86
1738,2020/03,9066640000,344641000,360435000,248736000,61.37,7.05,4.21
1739,2020/06,24847555000,1588338000,1374541000,900009000,147.87,17.54,3.67
1743,2020/09,11045316000,817087000,822183000,619491000,817.07,8.78,5.12
1757,2020/03,2270835000,-386072000,-394165000,-455416000,-3.11,-,-
