配当
コード,年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
1301,2016/03,50,525000000,-,29.18,29.18,2.3
1332,2016/03,5,552000000,3000000,4.49,4.51,1.5
1333,2016/03,30,1579000000,8000000,38.54,38.74,1.8
1352,2016/03,20,167000000,-,41.54,41.54,3.3
1376,2016/05,27,293553000,1142000,20.03,20.11,2
1377,2016/05,25,1035000000,3000000,19.85,19.9,1.3
1379,2016/03,60,1886000000,1000000,72.59,72.63,3.9
1380,2016/03,4,12514000,-,23.4,23.4,1.2
1381,2016/06,35,140000000,-,11.45,11.45,2.4
1382,2016/06,-,11428000,-,-,-,0
1383,2016/10,10,12697000,-,90.82,90.82,0.9
1384,2016/08,14,89508000,-,9.14,-,1.8
1400,2016/12,-,-,-,-,0,-
1401,2016/05,-,-,-,-,0,-
1407,2016/08,35,935000000,999000000,34.8,71.98,7
1413,2016/12,60,882362000,-,26.5,26.5,5.3
1414,2016/06,43.5,2153000000,-,34.35,34.35,3.7
1417,2016/03,30,2439000000,3000000,67.17,67.25,2
1418,2016/02,4,80041000,149872000,30.83,88.57,1.8
1419,2016/05,10,300000000,-,-,-,2.2
1420,2016/03,15,189300000,-,-,-,1.2
1429,2016/12,3,104173000,-,10.64,-,1.7
1430,2016/05,26,98961000,-,9.61,-,17.9
1431,2016/06,5,10000000,-,58.6,-,1.1
1433,2016/01,15,122000000,-,41.72,-,6.9
1434,2016/08,8,30562000,-,12.33,-,2.8
1435,2016/12,4,152902000,-,6.49,-,6.2
1436,2016/03,24,25000000,-,3.89,-,3.9
1438,2016/09,30,30450000,-,10.68,-,1.9
1439,2016/12,31,18008000,-,8.92,-,3.6
1450,2016/09,312.5,-,-,-,-,-
1451,2016/03,129,-,-,-,-,-
1491,2016/03,-,-,34000,-,-,-
1514,2016/03,2,139000000,128000000,13.51,25.95,1.5
1515,2016/03,80,582000000,5000000,12.98,13.09,0.8
1518,2016/03,40,554000000,-,36.64,36.64,1.6
1605,2016/03,18,26286000000,-,156.68,156.68,0.9
1662,2016/03,50,2857000000,-,136.7,136.7,0.6
1663,2016/12,28,766000000,-,31.9,31.9,1.1
1711,2016/03,-,0,-,-,-,-
1712,2016/02,5,111780000,39000,7.37,7.37,0.9
1716,2016/06,12,45917000,-,4.12,4.12,1
1717,2016/03,10,95314000,-,25.48,25.48,5
1718,2016/12,130,98419000,956000,7.73,7.8,1.5
1719,2016/03,12,1848000000,2000000,12.33,12.35,3.2
1720,2016/03,25,1920000000,5000000,14.39,14.43,5.4
1721,2016/03,35,3402000000,8002000000,22.06,73.96,2
1722,2016/03,20,747000000,2000000,21.73,21.79,1.9
1723,2016/03,66,409801000,119032000,22.7,29.3,3.3
1724,2016/03,-,0,-,-,-,-
1726,2016/03,2,65685000,-,13.91,13.91,2.7
1728,2016/03,5,57564000,697000,66.42,67.23,0.9
1730,2016/03,10,27310000,-,21.97,21.97,2.6
1734,2016/03,150,75780000,1050000,14.11,14.31,1.6
1736,2016/03,38,105497000,-,10.8,10.8,1.8
1737,2016/03,38,574871000,317000,61.74,61.77,4.1
1738,2016/03,13,40546000,18000,16.06,16.07,1.9
1739,2016/06,1.25,7000000,31000,1.21,1.22,0.6
1743,2016/09,50,37941000,-,-,-,0.6
1757,2016/03,-,-,49000,-,-,-
1758,2016/01,75,52588000,872000,15.15,15.4,0.9
1762,2016/03,34,576000000,-,9.93,9.93,1.4
1764,2016/06,140,64850000,125000,10.67,10.69,6
1766,2016/04,95,1211000000,31000000,14.84,15.22,2.4
