配当
コード,年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
1301,2020/03,70,760000000,227000000,37.31,48.45,2.3
1332,2020/03,8.5,2492000000,2000000,16.87,16.89,1.8
1333,2020/03,40,2105000000,5000000,16.79,16.83,1.6
1352,2020/03,20,167000000,-,36.78,36.78,2.6
1375,2020/03,42.3,1685000000,-,38.77,38.77,-
1376,2020/05,28,328698000,105203000,29.28,38.66,1.6
1377,2020/05,33,1473000000,2000000,24.17,24.2,1.5
1379,2020/03,60,1900000000,876000000,124.1,181.32,3.7
1380,2020/03,5,20845000,-,29.02,29.02,1.2
1381,2020/06,85,449000000,-,22.76,22.76,3.3
1382,2020/06,-,0,-,0,0,0
1383,2020/10,10,12696000,-,-,-,1
1384,2020/03,10,84590000,34000,37.92,37.93,1
1400,2020/12,-,-,-,-,0,-
1401,2020/05,-,-,-,-,0,-
1407,2020/08,34.62,1100000000,578000000,24.9,37.99,7.5
1413,2020/12,90,1135539000,2000,29.88,29.88,5.6
1414,2020/06,79.5,4171000000,1000000,46.32,46.33,5.3
1417,2020/03,40,3962000000,10883000000,26.03,97.54,2
1418,2020/02,4,80041000,109796000,73.9,175.28,2
1419,2020/05,70,1142000000,893000000,22.35,39.83,10.6
1420,2020/03,25,315499000,1133228000,87.85,403.39,1.7
1429,2020/12,20,549038000,-,40.89,40.89,8.9
1430,2020/05,20,507623000,111377000,58.19,70.96,4.4
1431,2020/06,9,92261000,216893000,67.26,225.38,5.1
1433,2021/01,16,131628000,176000,92.7,92.82,5.1
1434,2020/08,15,72278000,-,22.96,22.96,3
1436,2020/04,10,42828000,13430000,54.15,71.12,1
1438,2020/09,35,50806000,-,25.46,25.46,2
1439,2020/12,20,57308000,29918000,-,-,1.8
1443,2020/03,1,16237000,151000,2.47,2.5,0.2
1446,2020/09,6,62044000,-,32.36,-,1.9
1447,2020/03,-,-,1560000,-,1.88,-
1448,2020/03,15,918000000,-,92.08,92.08,2.1
1449,2020/12,7,14000000,-,35,-,4.5
1450,2020/03,40,173992000,238000,31.54,31.59,4.6
1451,2020/03,44,234783000,18000,56.14,56.15,3.2
1491,2020/03,-,-,35000,-,-,-
1514,2020/03,3,177000000,175000000,17.34,34.48,1.3
1515,2020/03,90,915000000,3000000,20.25,20.32,0.7
1518,2020/03,50,653000000,-,28.49,28.49,2
1605,2020/12,24,43810000000,-,-,-,1.3
1662,2020/03,50,3143000000,-,11.72,11.72,0.7
1663,2020/12,30,751000000,1020000000,26.41,62.27,1.1
1711,2020/03,-,-,4000,-,-,-
1712,2020/02,6,100849000,18889000,14.87,17.66,0.8
1716,2020/06,12.5,114793000,196000,7.53,7.55,1.3
1717,2020/03,21.5,251531000,27000,39.33,39.33,6.8
1718,2020/12,100,153045000,-,19.24,19.24,0.8
1719,2020/03,30,6004000000,5065000000,35.73,65.88,4.4
1720,2020/03,30,3201000000,2000000,21.48,21.49,3.3
